case,cores,status,seconds,single,makespan,speedup,added_copy_bytes,used_cores,official_evaluations,selected,plan,error
case_026,2,ok,0.2424015998840332,99203.0,55254,1.7953994280957035,380568,2,2,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_026_2core.json,
case_026,3,ok,0.20078730583190918,99203.0,41655,2.3815388308726444,95664,3,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_026_3core.json,
case_026,4,ok,0.17274785041809082,99203.0,41655,2.3815388308726444,95664,3,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_026_4core.json,
case_026,5,ok,0.20032119750976562,99203.0,41655,2.3815388308726444,95664,3,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_026_5core.json,
case_027,2,ok,0.40041279792785645,2363952.0,1120962,2.10886006840553,1744896,2,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_027_2core.json,
case_027,3,ok,0.6911358833312988,2363952.0,757279,3.1216394486048076,5922816,3,2,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_027_3core.json,
case_027,4,ok,0.35434556007385254,2363952.0,559196,4.227412213249022,3317760,4,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_027_4core.json,
case_027,5,ok,0.9232602119445801,2363952.0,478638,4.938914168954408,5750784,5,3,v14_conservative,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_027_5core.json,
case_028,2,ok,6.119345664978027,43836040.0,20487686,2.1396286530357798,69091200,2,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_028_2core.json,
case_028,3,ok,4.900238990783691,43836040.0,13753761,3.187203849187142,58807296,3,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_028_3core.json,
case_028,4,ok,6.892287969589233,43836040.0,10281930,4.263405800272906,69091200,4,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_028_4core.json,
case_028,5,ok,7.399733543395996,43836040.0,8277390,5.295877082027064,73388160,5,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_028_5core.json,
case_029,2,ok,0.20510601997375488,37555.0,19740,1.9024822695035462,0,2,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_029_2core.json,
case_029,3,ok,0.19132637977600098,37555.0,12743,2.9471082162756024,0,3,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_029_3core.json,
